model,accuracy,precision,recall,f1_score,roc_auc_score
base,0.9516778523489933,0.0,0.0,0.0,0.5
log_cv,0.9852348993288591,0.890625,0.7916666666666666,0.8382352941176471,0.8933650681711329
log_cv_stop_sklearn,0.9861297539149888,0.9139784946236559,0.7870370370370371,0.845771144278607,0.8916379355377946
log_cv_stop_nltk,0.9863534675615212,0.9329608938547486,0.7731481481481481,0.8455696202531645,0.885163636838531
log_cv_stop_spacy,0.9859060402684564,0.9135135135135135,0.7824074074074074,0.8428927680798005,0.8893231207229797
log_cv_stop_gensim,0.9863534675615212,0.9281767955801105,0.7777777777777778,0.8463476070528967,0.8873609152170506
log_tfidf,0.9827740492170023,0.845771144278607,0.7870370370370371,0.815347721822542,0.8898748889933658
log_cv_tfidf_stop_sklearn,0.9816554809843401,0.835,0.7731481481481481,0.8028846153846154,0.8826953716763307
log_tfidf_stop_nltk,0.9823266219239374,0.8442211055276382,0.7777777777777778,0.8096385542168675,0.8852452593637361
log_tfidf_stop_spacy,0.9821029082774049,0.8366336633663366,0.7824074074074074,0.8086124401913876,0.8873250013059605
log_tfidf_stop_gensim,0.9818791946308725,0.8391959798994975,0.7731481481481481,0.8048192771084337,0.882812908112626
log_cv_pca,0.9630872483221476,0.8148148148148148,0.3055555555555556,0.4444444444444444,0.651014731233349
log_cv_pca_200,0.9702460850111857,0.816793893129771,0.49537037037037035,0.6167146974063401,0.7448643107140992
log_cv_pca_300,0.9713646532438479,0.7588235294117647,0.5972222222222222,0.6683937823834197,0.7937921172230059
log_cv_pca_500,0.9753914988814317,0.7598039215686274,0.7175925925925926,0.7380952380952381,0.853037010917829
log_cv_pca_stop,0.9677852348993289,0.8157894736842105,0.4305555555555556,0.5636363636363636,0.7128095126155775
log_tfidfj_pca,0.9671140939597316,0.7633587786259542,0.46296296296296297,0.5763688760806917,0.7278378519563287
log_tfidf_pca_200,0.9751677852348993,0.8571428571428571,0.5833333333333334,0.6942148760330579,0.7891984015044665
log_tfidf_pca_300,0.978523489932886,0.875,0.6481481481481481,0.7446808510638298,0.821723345348169
log_tfidf_pca_500,0.9809843400447428,0.8742857142857143,0.7083333333333334,0.782608695652174,0.8515808650681712
log_tfidf_pca_stop,0.9756152125279642,0.8689655172413793,0.5833333333333334,0.6980609418282548,0.7894334743770569
log_cv_ridge,0.9845637583892617,0.9622641509433962,0.7083333333333334,0.816,0.8534614480488952
log_ridge_best,0.9863534675615212,0.9428571428571428,0.7638888888888888,0.8439897698209718,0.8807690800814919
log_cv_lasso,0.9767337807606264,0.9,0.5833333333333334,0.7078651685393258,0.7900211565585332
log_lasso_best,0.9838926174496644,0.8829787234042553,0.7685185185185185,0.8217821782178217,0.8816734576607638
